UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sungkyu Lee,@dangun76,2021-09-10T23:57:49.000Z,"Sungkyu Lee
@dangun76
·
Sep 10","“Amazing YouTube Channels That Will Make You Smarter” by Valerie
Amazing YouTube Channels That Will Make You Smarter
Educational YouTube channels are the best. Here is the list of my personal favorites. Feel free to add more!
link.medium.com",,,,,['https://pbs.twimg.com/card_img/1434736993477398528/Jqcg_eUn?format=jpg&name=900x900'],https://twitter.com/dangun76/status/1436479053758750722
𝗬𝗮𝗺𝗶_𝗺𝗶𝗻 |,@CHIHIRA_GII0,2021-09-11T23:59:58.000Z,"𝗬𝗮𝗺𝗶_𝗺𝗶𝗻 |
@CHIHIRA_GII0
·
Sep 11","Replying to 
@NetflixLAT
Métete tu spoiler por el culo 
@NetflixLAT
 ya evitando cualquier spoiler y tú me vienes a chingas",🪐,,,,[],https://twitter.com/CHIHIRA_GII0/status/1436841981305491459
allyygggg,@yllaocampo,2021-09-11T23:59:55.000Z,"allyygggg
@yllaocampo
·
Sep 11","Himlay talaga
alexa | DONBELLE, ALWAYS
@sereinalexa
 · Sep 11
WHAT IS TULOG BA KASI?!

#DonBelle
#DONBELLEmpire

 https://twitter.com/ethereaIdb/status/1436747721700896770/video/1…",,,,,[],https://twitter.com/yllaocampo/status/1436841970358362116
エビライハンがビンビン,@nohharu0518,2021-09-11T23:59:49.000Z,"エビライハンがビンビン
@nohharu0518
·
Sep 11","Replying to 
@egichan12
分かる分かる(笑)
1",,1,,,[],https://twitter.com/nohharu0518/status/1436841946702516224
sh,@shan119660,2021-09-11T23:59:49.000Z,"sh
@shan119660
·
Sep 11","Replying to 
@graveshift69
DJMAKI epic Korea meetup when
2",,,,2,[],https://twitter.com/shan119660/status/1436841945934954499
YAHWEH Christian Radio,@YAHWEH_RADIO,2021-09-11T23:59:48.000Z,"YAHWEH Christian Radio
@YAHWEH_RADIO
·
Sep 11",Terry MacAlmon - How Great Is Our God,,,,,[],https://twitter.com/YAHWEH_RADIO/status/1436841942470508549
,@nanalelegsung,2021-09-12T23:59:59.000Z,"@nanalelegsung
·
Sep 12","이 정도면 신내림을 받아야 하는거 아니냐 ????
2",🥑,,,2,[],https://twitter.com/nanalelegsung/status/1437204375861018627
Youngmi Lee,@Min_Erika_Shin,2021-09-12T23:59:58.000Z,"Youngmi Lee
@Min_Erika_Shin
·
Sep 12","Replying to 
@rockstarJKK
@_bts_bagtan
3
1",,3,,1,[],https://twitter.com/Min_Erika_Shin/status/1437204371280961536
Jinwook Jung,@JJsanctum,2021-09-12T23:59:58.000Z,"Jinwook Jung
@JJsanctum
·
Sep 12","September 13, 2021 at 08:59AM, 1 USD 는 현재 1170.22 KRW 입니다. #환율",,,,,[],https://twitter.com/JJsanctum/status/1437204369448083457
박요빈/메인트 알티 부탁!,@parkyovin0407,2021-09-12T23:59:57.000Z,"박요빈/메인트 알티 부탁!
@parkyovin0407
·
Sep 12","Replying to 
@sulryubin
전화하고프다...ㅠㅠㅠ
1
1",🐑 🐑,1,,1,[],https://twitter.com/parkyovin0407/status/1437204367661166601
Daynaaaaa◡̈,@daydaynachoi,2021-09-12T23:59:57.000Z,"Daynaaaaa◡̈
@daydaynachoi
·
Sep 12","Awww... Throwback 
THE BOYZ (더보이즈)
@WE_THE_BOYZ
 · Sep 12
[선우] 생일 축하합니다 ",🥺 🥺 🌌,,,,[],https://twitter.com/daydaynachoi/status/1437204365421395970
서울만남:ckyp65.com,@T7raysb9nPhFoAP,2021-09-13T23:59:59.000Z,"서울만남:ckyp65.com
@T7raysb9nPhFoAP
·
Sep 13","대한민국 no1 섹☆알☆바★ 대/량 모/집/합니다  섹/파찾기►

홈피: ΑΚΕ369. СОМ 

ㅈㄱ
그래프추천
벨레그로스
역세권투자
bj움짤
광교
화장실
추억사진
유리
육아맘",↘ ▶ ◀,,,,[],https://twitter.com/T7raysb9nPhFoAP/status/1437566763177164807
