UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
민초(무명/이만희 신천지&통일교&전광훈&이재록&정명석&이재명+최문순=,,2021-09-11T21:35:08.000Z,"민초(무명/이만희 신천지&통일교&전광훈&이재록&정명석&이재명+최문순=
·
Sep 11","Replying to 
@lalapesto
'이재명(dog bird)', 우리나라 돈을 코풀거나 밑닦는 휴지로 변모시키겠다는 헛소리...
1
3",🐕 🐦,,1,3,[],https://twitter.com/witty750921/status/1436805534926061570
이태용.,@taeyaong,2021-09-11T21:23:52.000Z,"이태용.
@taeyaong
·
Sep 11",He had a dalmatian dog named Danbi and Danbi had puppies.,,,,,[],https://twitter.com/taeyaong/status/1436802700448985089
이태용.,@taeyaong,2021-09-11T18:53:30.000Z,"이태용.
@taeyaong
·
Sep 11",He’s currently having a dog named Ruby.,,,,,[],https://twitter.com/taeyaong/status/1436764858410692608
Shane's K-Pop Videos,@shanesnh,2021-09-11T16:49:00.000Z,"Shane's K-Pop Videos
@shanesnh
·
Sep 11","Replying to 
@Lyricoldrap
 and 
@HeymanHustle
AGP at the end: ""You G-d damn no good dog d!ck licking son of a b!tch!"" LOL.",,,,,[],https://twitter.com/shanesnh/status/1436733526913679365
JAY B ↜,@jaybnowhr____,2021-09-11T16:27:43.000Z,"JAY B ↜
@jaybnowhr____
·
Sep 11","hmm do you like cat/dog?
@AMONDJAEMlN
 · Sep 11
Sending my warmest greetings to all Khhrnbeat mates! The name is Bang Jaemin or you might know me as A.mond. I hope can get along and build a good friendship as well. Anyway you can drop anything below as a starter of our conversation.
1
1",,1,,1,"['https://pbs.twimg.com/profile_images/1436694458930589699/IlaBUNTW_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1436308687103021060/pu/img/4yjBU3tghozk7GC_.jpg']",https://twitter.com/jaybnowhr____/status/1436728168598044672
김K,@SOLlNVlCTUS,2021-09-11T14:04:45.000Z,"김K
@SOLlNVlCTUS
·
Sep 11","ㅤ

It’s a nice content if you’re a dog vlogger, but I’m not... So... It was more embarrassing if anything.

His name is Rex, say hi, Rex!         

ㅤ
Nathan
@prsdsef
 · Sep 11
That must be so nice and I want to meet your dog twitter.com/SOLlNVlCTUS/st…",,,,,"['https://pbs.twimg.com/media/E_An7KwVIAEID56?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1436513782147125254/VAtx1-vt_mini.jpg']",https://twitter.com/SOLlNVlCTUS/status/1436692191145984007
Jennifer,@yeahmybutterfly,2021-09-11T13:37:19.000Z,"Jennifer
@yeahmybutterfly
·
Sep 11","Mike with his hunting dogs
1",💫,,,1,[],https://twitter.com/yeahmybutterfly/status/1436685288420507648
