UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
CBS international,@seoul74,2021-08-09T23:59:12.000Z,"CBS international
@seoul74
·
Aug 9","오늘의  만나
1
1",,,1,1,['https://pbs.twimg.com/media/E8YzhkmVoAIQbUr?format=jpg&name=small'],https://twitter.com/seoul74/status/1424882991252217870
Linus,@HJLinus,2021-08-09T23:57:56.000Z,"Linus
@HJLinus
·
Aug 9","크래프톤 시초가가 마이너스로 시작하네;; -9.94%라니..
1
1",,1,,1,['https://pbs.twimg.com/media/E8YzO2GVgAAGnsb?format=jpg&name=small'],https://twitter.com/HJLinus/status/1424882669612015626
ジョン,@ggf1rst,2021-08-09T23:56:45.000Z,"ジョン
@ggf1rst
·
Aug 9",おｈｓｍ＠,,,,,[],https://twitter.com/ggf1rst/status/1424882374341402656
noealz,@noealz,2021-08-09T23:55:42.000Z,"noealz
@noealz
·
Aug 9","New HEN piece coming in 3 hours! https://objkt.link/197492
5
24
147",,5,24,147,['https://pbs.twimg.com/media/E8YyuEFUUAIDkVd?format=jpg&name=small'],https://twitter.com/noealz/status/1424882108284080128
도담담담,@DOKAREV_1988,2021-08-09T23:55:01.000Z,"도담담담
@DOKAREV_1988
·
Aug 9","어제 커피마신건 한잔인데 왜 아직까지도 가슴이 두근대지

심장질환인가
1",,1,,,[],https://twitter.com/DOKAREV_1988/status/1424881937978597380
도담담담,@DOKAREV_1988,2021-08-09T23:53:04.000Z,"도담담담
@DOKAREV_1988
·
Aug 9","인도소년 예언대로 코로나가 사라지고
경제가 다시 살아나서
다들 행복해졌으면 좋겠다.
5",,,,5,[],https://twitter.com/DOKAREV_1988/status/1424881445588279313
hyeri kim,@helllllly,2021-08-09T23:51:58.000Z,"hyeri kim
@helllllly
·
Aug 9","#terrace 

화질이 마치 97년도에 찍은 사진마냥

요즘은 요양중인것 같은 하루하루 

#목현동 #morning @M소노펠리체 https://instagram.com/p/CSX2zAdJvE-/?utm_medium=twitter…",🌱,,,,[],https://twitter.com/helllllly/status/1424881168646774797
연어밍,@yeoncomi,2021-08-09T23:49:00.000Z,"연어밍
@yeoncomi
·
Aug 9",진에어 무지성 탑승이었어??? 존으로 안나누네?,💉 💉,,,,[],https://twitter.com/yeoncomi/status/1424880424304615457
