UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
allyygggg,@yllaocampo,2021-09-11T23:59:55.000Z,"allyygggg
@yllaocampo
·
Sep 11","Himlay talaga
alexa | DONBELLE, ALWAYS
@sereinalexa
 · Sep 11
WHAT IS TULOG BA KASI?!

#DonBelle
#DONBELLEmpire

 https://twitter.com/ethereaIdb/status/1436747721700896770/video/1…",,,,,['https://pbs.twimg.com/profile_images/1437708545500205057/sZD0FNvO_mini.jpg'],https://twitter.com/yllaocampo/status/1436841970358362116
YAHWEH Christian Radio,@YAHWEH_RADIO,2021-09-11T23:59:48.000Z,"YAHWEH Christian Radio
@YAHWEH_RADIO
·
Sep 11",Terry MacAlmon - How Great Is Our God,,,,,[],https://twitter.com/YAHWEH_RADIO/status/1436841942470508549
신민아,@illussomina,2021-09-11T23:59:46.000Z,"신민아
@illussomina
·
Sep 11",GIF,,,,,[],https://twitter.com/illussomina/status/1436841933020663815
niez,@nz_nz44000147,2021-09-11T23:59:44.000Z,"niez
@nz_nz44000147
·
Sep 11","#HAPPYRMDAY 
#happybirthdaymahal 
The following media includes potentially sensitive content. Change settings
View",💜 💜 💜 💜 💜 💜 💜 💜 💜,,,,[],https://twitter.com/nz_nz44000147/status/1436841921943539716
не сегодня,@Madame_Doh,2021-09-11T23:59:43.000Z,"не сегодня
@Madame_Doh
·
Sep 11","Лето '85 о том, как Франсуа Озон смотрел 3й сезон норвежского Скама и делал заметки",🍁 🍂,,,,[],https://twitter.com/Madame_Doh/status/1436841919670333443
우주개발 프로젝트,@juotte2,2021-09-11T23:59:42.000Z,"우주개발 프로젝트
@juotte2
·
Sep 11","남자레깅스 중에서 많이 팔린 제품 장단점 정리. 올해 판매량 상위 추천제품 TOP 6
남자레깅스 중에서 많이 팔린 제품 장단점 정리. 올해 판매량 상위 추천제품 TOP 6
jshop.byulink.com",,,,,['https://pbs.twimg.com/card_img/1436841927454953475/UTCX677c?format=jpg&name=small'],https://twitter.com/juotte2/status/1436841916939837441
Jinwook Jung,@JJsanctum,2021-09-11T23:59:37.000Z,"Jinwook Jung
@JJsanctum
·
Sep 11","September 12, 2021 at 08:59AM, 1 USD 는 현재 1168.9 KRW 입니다. #환율",,,,,[],https://twitter.com/JJsanctum/status/1436841893258801155
🄽🄿🄲)겜돌(,@simsimNPC,2021-09-11T23:59:29.000Z,"🄽🄿🄲)겜돌(
@simsimNPC
·
Sep 11","머리 난리났네 아직 이불에서 못벗어남
The following media includes potentially sensitive content. Change settings
View
1
10",,1,,10,[],https://twitter.com/simsimNPC/status/1436841862174703621
SHiKi,@R3DALiCE,2021-09-11T23:59:20.000Z,"SHiKi
@R3DALiCE
·
Sep 11","자야겟다...
1",,1,,,[],https://twitter.com/R3DALiCE/status/1436841822429450243
감성난민,@emorefugee,2021-09-11T23:59:14.000Z,"감성난민
@emorefugee
·
Sep 11","#홍준표 '#페미니즘 에 분노하는 남자들 쩨쩨하다'

https://clien.net/service/board/park/16486342…",,,,,[],https://twitter.com/emorefugee/status/1436841798601568261
