UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
이게뭐야,@6N416LI28pVyKzL,2021-09-14T00:24:51.000Z,"이게뭐야
@6N416LI28pVyKzL
·
9월 14일",저녁에 지방과 단백질 보충했으니 오늘 점심은 볶음밥이다!,,,,,"['https://pbs.twimg.com/media/E_NI-_YVUAEuWON?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E_NJBrvUYAUg_wD?format=jpg&name=360x360']",https://twitter.com/6N416LI28pVyKzL/status/1437573021112307712
Chung sam,@manofyoung,2021-09-15T23:10:18.000Z,"Chung sam
@manofyoung
·
8시간","#소중한오늘 등에 담이왔다 ㅜㅜ
맑은 가을하늘을 가로질러 그냥 스벅서 아침을 시작했음 ㅋ
저녁에 운동해야지. 

#운동하는직장인 #헬린이 #트루짐 #트루짐소담점 @소담동 새샘마을 https://instagram.com/p/CT3DcG1PKqU/?utm_medium=twitter…",,,,,[],https://twitter.com/manofyoung/status/1438279033582669833
