UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ⴵ퇴마Белова⧗,@Tastermask,2021-09-10T23:52:44.000Z,"ⴵ퇴마Белова⧗
@Tastermask
·
9월 11일","켙옐

새끼 고양이가 옐레나임",😏,,,,['https://pbs.twimg.com/media/E-9k7A-UUAAwl5N?format=jpg&name=900x900'],https://twitter.com/Tastermask/status/1436477773229428738
솜토끼라떼씨,@sugulnim,2021-09-10T23:52:44.000Z,"솜토끼라떼씨
@sugulnim
·
9월 11일","울 와기고양이....
똥투정 밥투정 잠투정 다해.....
그런데도 네가 골골송 부르면서 머리 부비면 어휴...하면서 녹아 나는.....
4",,,,4,[],https://twitter.com/sugulnim/status/1436477772680028166
63 인 간 합 격,@manyou0327,2021-09-10T23:51:49.000Z,"63 인 간 합 격
@manyou0327
·
9월 11일","빙썅가라남 또짜면 다른캐자 둘의 자아가 튀어나올거같아서 잘 안웃는 캐를 짤까싶기도하고
인상이나 머리길이불러봐

나 채도낮은 고양이상 외강내유가좋
다이에이붐은온다:안세경 
@_______Andante
 · 9월 11일
아개좋네
폭군흑금남해줘제발제발제발
여캐취향불러
나오늘은진짜짜올게 twitter.com/manyou0327/sta…
1",,,1,,['https://pbs.twimg.com/profile_images/1431025339652743169/XqNtw1ji_mini.jpg'],https://twitter.com/manyou0327/status/1436477543964499969
sabin_2/다다,@muray80_2,2021-09-10T23:51:07.000Z,"sabin_2/다다
@muray80_2
·
9월 11일","고양이 뱃지 짱 귀엽네요>.<
유냥이 이벤트 응원합니다!!
란킴
@BrujaAmigo_Run
 · 9월 11일
'란킴' 이벵을 사랑한다. YU군의 음원발매로 승승장구 하길 바라며 우리 YU군은 이쥬 고양이핀뱃지 RT이벵 할께요 보너스로 YU스티커 함께해요

RT 팔로워 한정 국내 한정
9월 13일 갑자기! 5명쌤 모셔요

랜덤 발송되며 우체국 일반우편발송으로 분실 위험 있습니다.
#楊宇騰 #楊宇騰YU
이 스레드 보기",🐱 😎 ⭕ ❌ ⭕ 🥳,,,,"['https://pbs.twimg.com/profile_images/1277106791768182785/waPN4uZ-_mini.jpg', 'https://pbs.twimg.com/media/E-7zbOgUcAgiyO4?format=jpg&name=small', 'https://pbs.twimg.com/media/E-7zbsVVkAE_qdh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-7zcAfVkAIn3fZ?format=jpg&name=360x360']",https://twitter.com/muray80_2/status/1436477365392003072
면죄된 非일상❖'ㅡ',@_b13,2021-09-10T23:48:58.000Z,"면죄된 非일상❖'ㅡ'
@_b13
·
9월 11일",고양이 너무 귀여웡,,,,,[],https://twitter.com/_b13/status/1436476825744539648
율무,@png_316,2021-09-10T23:48:56.000Z,"율무
@png_316
·
9월 11일","@Theo529217
 님에게 보내는 답글
ㅋㅋㅋㅋㅠㅠ눈 부릅 뜬 고양이인가요..가끔 시오님 고양이 사진 올라오실 때마다 힐링하고 갑니더..너무귀여운ㅠ..ㅠ
1",,1,,,[],https://twitter.com/png_316/status/1436476817955692545
코자토 엔마,@Enma_botkr,2021-09-10T23:48:30.000Z,"코자토 엔마
@Enma_botkr
·
9월 11일",..그거 고양이...,,,,,[],https://twitter.com/Enma_botkr/status/1436476709168103427
루시,@lucy_msah,2021-09-10T23:48:25.000Z,"루시
@lucy_msah
·
9월 11일","고양이 앞에서 흐믈흐믈해지고 일 앞에서 딱딱해지는게 딱 애묘직장인
1",,1,,,[],https://twitter.com/lucy_msah/status/1436476689568047105
ER,@HTLFW,2021-09-10T23:48:14.000Z,"ER
@HTLFW
·
9월 11일","@indicator00
 님에게 보내는 답글
헐 진짜 계신다
제가 재밋(다고 들)은 게임을 들고왔어요
고양이 문명을 만들어내는?....
kittens game이래요
웹이나 앱으로 게임가능한데
어플은 유료에요
어떠싄가요 (기웃
1",,1,,,[],https://twitter.com/HTLFW/status/1436476640641490948
고양이 식당,@NEK0_restaurant,2021-09-10T23:47:50.000Z,"고양이 식당
@NEK0_restaurant
·
9월 11일","[고양이 식당]
치즈, 푸딩, 카라멜 총 세마리 고양이가 운영하는 식당
특이하게 돈 대신 츄르를 줘야 한다",,,,,[],https://twitter.com/NEK0_restaurant/status/1436476541114871811
•᷄ɞ•᷅,@yeontofu3,2021-09-10T23:47:46.000Z,"•᷄ɞ•᷅
@yeontofu3
·
9월 11일","혼자 있을 아기고양이가 걱정되는데ㅠ
7",,,,7,['https://pbs.twimg.com/media/E-9jyEAUcAAJSff?format=jpg&name=900x900'],https://twitter.com/yeontofu3/status/1436476525893730307
한주민 대사 봇,@jumin_dialogue,2021-09-10T23:47:36.000Z,"한주민 대사 봇
@jumin_dialogue
·
9월 11일","지금 중요한 건 그대와 나야. 슬퍼한다고 고양이가 돌아오는 것도 아니니... 그대의 얼굴에 웃음꽃을 피우게 할 수는 없을까?
1
2",,,1,2,[],https://twitter.com/jumin_dialogue/status/1436476482226851843
민해솔,@minhaesol0917,2021-09-10T23:47:26.000Z,"민해솔
@minhaesol0917
·
9월 11일","민해솔 는(은) 고양이가 야옹하고 울면 같이 야옹하고 울어봅니다
#shindanmaker #자캐의설정
자캐의 소소한 설정
자캐의 소소한 설정들을 만들어봅시다:)+몇몇 오타수정, 30000번이나 진단해주셔서 정말 감사해요ㅠㅜ진단 해 주시고 달아주시는 글들 잘 보고있어요:)
kr.shindanmaker.com
3",💚 🦖,,,3,['https://pbs.twimg.com/card_img/1436202565159755776/bWi-6WuE?format=jpg&name=small'],https://twitter.com/minhaesol0917/status/1436476438643830784
뽑보비!!,@li00li00li,2021-09-10T23:47:22.000Z,"뽑보비!!
@li00li00li
·
9월 11일","헤헹
고양이상 강아지상은 볼 때마다 다르게 느껴져용",😱 😴,,,,['https://pbs.twimg.com/media/E-9jj01UUAIm1VC?format=jpg&name=small'],https://twitter.com/li00li00li/status/1436476425406533640
15 • 아케치 히로타츠,@HIROTATSU_bldr2,2021-09-10T23:46:47.000Z,"15 • 아케치 히로타츠
@HIROTATSU_bldr2
·
9월 11일","@Ritsu_Rabbit
 님에게 보내는 답글
(....조용히 슬그머니 다가와선 고양이 귀엽다는 초롱초롱 눈 해요)
1",,1,,,[],https://twitter.com/HIROTATSU_bldr2/status/1436476274948464641
글쟁이 마인드 봇,@Wr_mind_kr_bot,2021-09-10T23:45:58.000Z,"글쟁이 마인드 봇
@Wr_mind_kr_bot
·
9월 11일","스물다섯에 전역을 하고 유명 가수들의 노래에 가사를 써주며 세상의 화려함에 취했었지만 나는 작사가도 시인도 아니었습니다. (고양이와 선인장, 원태연)",,,,,[],https://twitter.com/Wr_mind_kr_bot/status/1436476070182588422
이응준bot,@leeeungjun_bot,2021-09-10T23:45:47.000Z,"이응준bot
@leeeungjun_bot
·
9월 11일",하얀고양이의 회색동공 같은 나날이다. 흘러가는계절 뒤에 무심히잊혀지고 있다는 것을 숨길수가 없었던 우리는 서로에겐 피차 슬픈악습. 발은 피로의미역에 감겨 자꾸 미끄러지고 입은 새의부리처럼 지난추억을 씹어 삼킬수없다고 전한다-그는 추억의 속도로 걸어갔다,,,,,[],https://twitter.com/leeeungjun_bot/status/1436476023906791428
지젤 엘로이즈,@Eloise_G_,2021-09-10T23:44:41.000Z,"지젤 엘로이즈
@Eloise_G_
·
9월 11일","결과는 바뀌지 않아요. 고양이 탐정이 죽었고, 자백한 길잡이가 있으니까.",,,,,[],https://twitter.com/Eloise_G_/status/1436475748169097220
layla,@airylayla,2021-09-10T23:44:10.000Z,"layla
@airylayla
·
9월 11일","와...산책 나가다가 개 한마리를 데리고 있는 아저씨가 커다란 나뭇가지로 무언가를 힘차게 뒤적거리고 있길래 이상해서 봤더니 8개월 정도 되어 보이는 아기 고양이를 공격하고 있었다...낯선 사람한테 소리 지른 건 태어나 처음이다.
1",,1,,,[],https://twitter.com/airylayla/status/1436475618401533953
소이,@soy_hshs,2021-09-10T23:44:06.000Z,"소이
@soy_hshs
·
9월 11일","포기못하고 화산애들은 고양이 귀 붙이고 종남애들은 설표 귀 붙였는데 이 이....한입에 넣고 굴려버리고 싶어졌어요
1",🌿,,,1,[],https://twitter.com/soy_hshs/status/1436475600294662147
호냥한 인생,@wanjyonisanghae,2021-09-10T23:43:41.000Z,"호냥한 인생
@wanjyonisanghae
·
9월 11일",료트 : ..... 으음. 고양이.. 친척이 기르던 고양이가 있었어. 그런데.. 죽었어. 그거랑.. 친척들이 내 핑계로 아버지한테 돈을 받아내는 거.. 글쎄.. 잘 기억이 안 나.,,,,,[],https://twitter.com/wanjyonisanghae/status/1436475495126745088
